,Name,ID,Fest_Name,Role_x,Event_x,participated,Club_Name,Event_y,Role_y
0,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_2,club_2_event_2,Participant
1,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_1,club_1_event_1,organiser_1
2,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_1,club_1_event_2,Participant
3,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_1,club_1_event_2,organiser_1
4,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_1,club_1_event_3,Participant
5,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_2,club_2_event_3,Participant
6,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_1,club_1_event_2,Participant
7,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_2,club_2_event_2,Participant
8,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_3,club_3_event_1,Participant
9,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_1,club_1_event_3,Participant
10,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_2,club_2_event_2,Participant
11,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_2,club_2_event_1,Participant
12,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_2,club_2_event_1,Participant
13,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_1,club_1_event_3,organiser_1
14,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_3,club_3_event_3,Participant
15,Annette Ahmed,18XJ1A0100,fest_2,organiser_4,none,False,club_2,club_2_event_2,Participant
16,Aya Kennedy,18XJ1A0107,fest_2,organiser_1,none,False,club_2,club_2_event_2,Participant
17,Aya Kennedy,18XJ1A0107,fest_2,organiser_1,none,False,club_3,club_3_event_2,Participant
18,Genevieve Ratliff,18XJ1A0114,fest_1,organiser_5,none,False,club_2,club_2_event_2,Participant
19,Genevieve Ratliff,18XJ1A0114,fest_1,organiser_5,none,False,club_3,club_3_event_2,Participant
20,Starr Hammond,18XJ1A0134,fest_2,organiser_2,none,False,,,
21,Evelin Bradley,18XJ1A0188,fest_1,organiser_1,none,False,club_1,club_1_event_1,Participant
22,Evelin Bradley,18XJ1A0188,fest_1,organiser_1,none,False,club_2,club_2_event_1,organiser_1
23,Evelin Bradley,18XJ1A0188,fest_1,organiser_1,none,False,club_2,club_2_event_2,Participant
24,Evelin Bradley,18XJ1A0188,fest_1,organiser_1,none,False,club_3,club_3_event_1,Participant
25,Evelin Bradley,18XJ1A0188,fest_1,organiser_1,none,False,club_2,club_2_event_3,organiser_1
26,Evelin Bradley,18XJ1A0188,fest_1,organiser_1,none,False,club_2,club_2_event_1,Participant
27,Evelin Bradley,18XJ1A0188,fest_1,organiser_1,none,False,club_1,club_1_event_2,Participant
28,Evelin Bradley,18XJ1A0188,fest_1,organiser_1,none,False,club_2,club_2_event_2,organiser_1
29,River Feliciano,18XJ1A0324,fest_1,organiser_2,none,False,club_2,club_2_event_2,Participant
30,River Feliciano,18XJ1A0324,fest_1,organiser_2,none,False,club_3,club_3_event_1,Participant
31,Daria Daily,18XJ1A0331,fest_1,organiser_3,none,False,club_2,club_2_event_1,Participant
32,Daria Daily,18XJ1A0331,fest_1,organiser_3,none,False,club_1,club_1_event_1,Participant
